ticker,horizon,n_test,note,sign_agreement,corr_forecast_actual,rmse_model,rmse_naive_zero,calibration_gap
AAPL,1,365,,0.51,-0.084,0.01945,0.0194,0.066
AAPL,3,363,,0.54,-0.146,0.03603,0.0358,0.125
AAPL,5,361,,0.51,-0.145,0.04608,0.04572,0.138
AAPL,10,356,,0.508,-0.128,0.05687,0.05653,0.095
AUDUSD_X,1,377,,0.488,-0.033,0.00623,0.00622,0.044
AUDUSD_X,3,375,,0.477,-0.042,0.01035,0.01032,0.083
AUDUSD_X,5,373,,0.512,-0.03,0.01257,0.01254,0.076
AUDUSD_X,10,368,,0.538,-0.027,0.01596,0.0159,0.096
BTC-USD,1,538,,0.517,0.02,0.02277,0.02276,0.06
BTC-USD,3,536,,0.53,0.055,0.03704,0.03702,0.064
BTC-USD,5,534,,0.543,0.074,0.04624,0.0462,0.082
BTC-USD,10,529,,0.524,0.094,0.06669,0.06644,0.129
CL_F,1,367,,0.51,-0.052,0.03137,0.0313,0.042
CL_F,3,365,,0.51,-0.086,0.05407,0.05373,0.088
CL_F,5,363,,0.468,-0.12,0.06904,0.06826,0.108
CL_F,10,358,,0.458,-0.173,0.09801,0.09579,0.093
ETH-USD,1,538,,0.498,-0.028,0.03662,0.03653,0.058
ETH-USD,3,536,,0.476,-0.035,0.06242,0.06201,0.051
ETH-USD,5,534,,0.476,-0.041,0.0796,0.07875,0.071
ETH-USD,10,529,,0.444,-0.068,0.11598,0.11345,0.112
EURUSD_X,1,377,,0.467,-0.089,0.00453,0.00452,0.072
EURUSD_X,3,375,,0.507,-0.158,0.00799,0.00793,0.073
EURUSD_X,5,373,,0.464,-0.181,0.01007,0.00995,0.103
EURUSD_X,10,368,,0.486,-0.215,0.01344,0.01313,0.098
GBPUSD_X,1,377,,0.477,-0.048,0.00443,0.00442,0.043
GBPUSD_X,3,375,,0.501,-0.078,0.00761,0.00759,0.076
GBPUSD_X,5,373,,0.485,-0.069,0.00947,0.00944,0.086
GBPUSD_X,10,368,,0.519,-0.049,0.01204,0.01201,0.123
GC_F,1,367,,0.567,-0.057,0.01672,0.01673,0.027
GC_F,3,365,,0.545,-0.087,0.02794,0.028,0.063
GC_F,5,363,,0.598,-0.093,0.03534,0.03552,0.081
GC_F,10,358,,0.617,-0.106,0.04647,0.04704,0.097
HG_F,1,367,,0.529,-0.089,0.02321,0.02319,0.05
HG_F,3,365,,0.562,-0.173,0.03836,0.03822,0.058
HG_F,5,363,,0.576,-0.245,0.05058,0.05024,0.122
HG_F,10,358,,0.637,-0.276,0.06703,0.06644,0.137
MSFT,1,365,,0.515,-0.109,0.01929,0.01922,0.054
MSFT,3,363,,0.512,-0.183,0.03591,0.03559,0.05
MSFT,5,361,,0.518,-0.224,0.04745,0.0468,0.131
MSFT,10,356,,0.424,-0.364,0.06823,0.06624,0.179
NVDA,1,365,,0.534,-0.079,0.02588,0.0259,0.037
NVDA,3,363,,0.562,-0.107,0.04447,0.04459,0.086
NVDA,5,361,,0.593,-0.1,0.05363,0.05405,0.111
NVDA,10,356,,0.593,-0.146,0.06734,0.06881,0.11
QQQ,1,365,,0.562,-0.019,0.01447,0.01449,0.035
QQQ,3,363,,0.623,-0.008,0.02382,0.02398,0.08
QQQ,5,361,,0.607,0.0,0.02943,0.02983,0.074
QQQ,10,356,,0.635,-0.032,0.03844,0.03965,0.123
SI_F,1,367,,0.569,-0.067,0.03733,0.03728,0.074
SI_F,3,365,,0.567,-0.116,0.06109,0.06084,0.079
SI_F,5,363,,0.609,-0.148,0.07868,0.07817,0.095
SI_F,10,358,,0.623,-0.217,0.10352,0.10197,0.106
SOL-USD,1,538,,0.478,-0.041,0.03957,0.03948,0.054
SOL-USD,3,536,,0.442,-0.049,0.06477,0.06446,0.068
SOL-USD,5,534,,0.442,-0.066,0.07918,0.07854,0.098
SOL-USD,10,529,,0.427,-0.072,0.11366,0.11215,0.152
SPY,1,365,,0.559,-0.041,0.01117,0.01118,0.037
SPY,3,363,,0.62,-0.032,0.01831,0.01842,0.096
SPY,5,361,,0.623,-0.024,0.02206,0.02235,0.102
SPY,10,356,,0.66,-0.052,0.02852,0.0295,0.1
