ticker,horizon,n_test,note,pct_regime_conditioned,rmse_model1,rmse_model2,sign_agree_model1,sign_agree_model2,model2_beats_model1_rmse
AAPL,1,365,,0.589,0.01945,0.01946,0.51,0.504,False
AAPL,3,363,,0.592,0.03603,0.03605,0.54,0.501,False
AAPL,5,361,,0.596,0.04608,0.04616,0.51,0.496,False
AAPL,10,356,,0.604,0.05687,0.05705,0.508,0.525,False
AUDUSD_X,1,377,,0.645,0.00623,0.00624,0.488,0.52,False
AUDUSD_X,3,375,,0.648,0.01035,0.01038,0.477,0.507,False
AUDUSD_X,5,373,,0.651,0.01257,0.01259,0.512,0.512,False
AUDUSD_X,10,368,,0.66,0.01596,0.01598,0.538,0.514,False
BTC-USD,1,538,,0.0,0.02277,0.02277,0.517,0.517,False
BTC-USD,3,536,,0.0,0.03704,0.03704,0.53,0.53,False
BTC-USD,5,534,,0.0,0.04624,0.04624,0.543,0.543,False
BTC-USD,10,529,,0.0,0.06669,0.06669,0.524,0.524,False
CL_F,1,367,,0.117,0.03137,0.03136,0.51,0.49,True
CL_F,3,365,,0.112,0.05407,0.05408,0.51,0.507,False
CL_F,5,363,,0.107,0.06904,0.06908,0.468,0.468,False
CL_F,10,358,,0.095,0.09801,0.09795,0.458,0.461,True
ETH-USD,1,538,,0.0,0.03662,0.03662,0.498,0.498,False
ETH-USD,3,536,,0.0,0.06242,0.06242,0.476,0.476,False
ETH-USD,5,534,,0.0,0.0796,0.0796,0.476,0.476,False
ETH-USD,10,529,,0.0,0.11598,0.11598,0.444,0.444,False
EURUSD_X,1,377,,0.0,0.00453,0.00453,0.467,0.467,False
EURUSD_X,3,375,,0.0,0.00799,0.00799,0.507,0.507,False
EURUSD_X,5,373,,0.0,0.01007,0.01007,0.464,0.464,False
EURUSD_X,10,368,,0.0,0.01344,0.01344,0.486,0.486,False
GBPUSD_X,1,377,,0.0,0.00443,0.00443,0.477,0.477,False
GBPUSD_X,3,375,,0.0,0.00761,0.00761,0.501,0.501,False
GBPUSD_X,5,373,,0.0,0.00947,0.00947,0.485,0.485,False
GBPUSD_X,10,368,,0.0,0.01204,0.01204,0.519,0.519,False
GC_F,1,367,,0.0,0.01672,0.01672,0.567,0.567,False
GC_F,3,365,,0.0,0.02794,0.02794,0.545,0.545,False
GC_F,5,363,,0.0,0.03534,0.03534,0.598,0.598,False
GC_F,10,358,,0.0,0.04647,0.04647,0.617,0.617,False
HG_F,1,367,,0.038,0.02321,0.02323,0.529,0.526,False
HG_F,3,365,,0.033,0.03836,0.03838,0.562,0.562,False
HG_F,5,363,,0.028,0.05058,0.05058,0.576,0.576,True
HG_F,10,358,,0.014,0.06703,0.06703,0.637,0.637,False
MSFT,1,365,,0.0,0.01929,0.01929,0.515,0.515,False
MSFT,3,363,,0.0,0.03591,0.03591,0.512,0.512,False
MSFT,5,361,,0.0,0.04745,0.04745,0.518,0.518,False
MSFT,10,356,,0.0,0.06823,0.06823,0.424,0.424,False
NVDA,1,365,,0.753,0.02588,0.02585,0.534,0.548,True
NVDA,3,363,,0.758,0.04447,0.0445,0.562,0.554,False
NVDA,5,361,,0.762,0.05363,0.05373,0.593,0.496,False
NVDA,10,356,,0.772,0.06734,0.06727,0.593,0.593,True
QQQ,1,365,,0.677,0.01447,0.01448,0.562,0.521,False
QQQ,3,363,,0.68,0.02382,0.02385,0.623,0.543,False
QQQ,5,361,,0.684,0.02943,0.02947,0.607,0.562,False
QQQ,10,356,,0.694,0.03844,0.03845,0.635,0.615,False
SI_F,1,367,,0.044,0.03733,0.03731,0.569,0.569,True
SI_F,3,365,,0.044,0.06109,0.06105,0.567,0.567,True
SI_F,5,363,,0.044,0.07868,0.07856,0.609,0.609,True
SI_F,10,358,,0.045,0.10352,0.10349,0.623,0.623,True
SOL-USD,1,538,,0.0,0.03957,0.03957,0.478,0.478,False
SOL-USD,3,536,,0.0,0.06477,0.06477,0.442,0.442,False
SOL-USD,5,534,,0.0,0.07918,0.07918,0.442,0.442,False
SOL-USD,10,529,,0.0,0.11366,0.11366,0.427,0.427,False
SPY,1,365,,0.685,0.01117,0.0112,0.559,0.501,False
SPY,3,363,,0.689,0.01831,0.01835,0.62,0.551,False
SPY,5,361,,0.693,0.02206,0.02212,0.623,0.607,False
SPY,10,356,,0.702,0.02852,0.02857,0.66,0.66,False
