ticker,horizon,n_test,note,mean_r2,rmse_model1,rmse_model3,sign_agree_model1,sign_agree_model3,model3_beats_model1_rmse
AAPL,1,365,,0.498,0.01945,0.01946,0.51,0.474,False
AAPL,3,363,,0.498,0.03603,0.03613,0.54,0.488,False
AAPL,5,361,,0.498,0.04608,0.04635,0.51,0.465,False
AAPL,10,356,,0.498,0.05687,0.05819,0.508,0.455,False
AUDUSD_X,1,377,,0.042,0.00623,0.00622,0.488,0.525,True
AUDUSD_X,3,375,,0.042,0.01035,0.01032,0.477,0.515,True
AUDUSD_X,5,373,,0.042,0.01257,0.01251,0.512,0.485,True
AUDUSD_X,10,368,,0.042,0.01596,0.01583,0.538,0.514,True
BTC-USD,1,538,,0.202,0.02277,0.02269,0.517,0.524,True
BTC-USD,3,536,,0.202,0.03704,0.03663,0.53,0.539,True
BTC-USD,5,0,insufficient out-of-sample observations,0.20234188135080824,,,,,
BTC-USD,10,0,insufficient out-of-sample observations,0.20234188135080824,,,,,
CL_F,1,367,,0.09,0.03137,0.03136,0.51,0.504,True
CL_F,3,365,,0.09,0.05407,0.05405,0.51,0.518,True
CL_F,5,363,,0.09,0.06904,0.06905,0.468,0.455,False
CL_F,10,358,,0.09,0.09801,0.09836,0.458,0.427,False
ETH-USD,1,538,,0.215,0.03662,0.0364,0.498,0.52,True
ETH-USD,3,536,,0.215,0.06242,0.06147,0.476,0.552,True
ETH-USD,5,0,insufficient out-of-sample observations,0.21477893255160713,,,,,
ETH-USD,10,0,insufficient out-of-sample observations,0.21477893255160713,,,,,
EURUSD_X,1,377,,0.03,0.00453,0.00452,0.467,0.467,True
EURUSD_X,3,375,,0.03,0.00799,0.00796,0.507,0.501,True
EURUSD_X,5,373,,0.03,0.01007,0.01001,0.464,0.496,True
EURUSD_X,10,368,,0.03,0.01344,0.01335,0.486,0.505,True
GBPUSD_X,1,377,,0.029,0.00443,0.00443,0.477,0.491,True
GBPUSD_X,3,375,,0.029,0.00761,0.00762,0.501,0.464,False
GBPUSD_X,5,373,,0.029,0.00947,0.0095,0.485,0.45,False
GBPUSD_X,10,368,,0.029,0.01204,0.01221,0.519,0.438,False
GC_F,1,367,,0.086,0.01672,0.01673,0.567,0.55,False
GC_F,3,365,,0.086,0.02794,0.02795,0.545,0.523,False
GC_F,5,363,,0.086,0.03534,0.03535,0.598,0.562,False
GC_F,10,358,,0.086,0.04647,0.04647,0.617,0.631,False
HG_F,1,367,,0.282,0.02321,0.02323,0.529,0.482,False
HG_F,3,365,,0.282,0.03836,0.03846,0.562,0.43,False
HG_F,5,363,,0.282,0.05058,0.05086,0.576,0.408,False
HG_F,10,358,,0.282,0.06703,0.06823,0.637,0.318,False
MSFT,1,365,,0.511,0.01929,0.01923,0.515,0.54,True
MSFT,3,363,,0.511,0.03591,0.03565,0.512,0.57,True
MSFT,5,361,,0.511,0.04745,0.04694,0.518,0.584,True
MSFT,10,356,,0.511,0.06823,0.06674,0.424,0.581,True
NVDA,1,365,,0.501,0.02588,0.02592,0.534,0.504,False
NVDA,3,363,,0.501,0.04447,0.04472,0.562,0.51,False
NVDA,5,361,,0.501,0.05363,0.05431,0.593,0.468,False
NVDA,10,356,,0.501,0.06734,0.06941,0.593,0.43,False
QQQ,1,365,,0.902,0.01447,0.01448,0.562,0.54,False
QQQ,3,363,,0.902,0.02382,0.02393,0.623,0.581,False
QQQ,5,361,,0.902,0.02943,0.02971,0.607,0.593,False
QQQ,10,356,,0.902,0.03844,0.03925,0.635,0.629,False
SI_F,1,367,,0.618,0.03733,0.0373,0.569,0.529,True
SI_F,3,365,,0.618,0.06109,0.06092,0.567,0.512,True
SI_F,5,363,,0.618,0.07868,0.07841,0.609,0.515,True
SI_F,10,358,,0.618,0.10352,0.10287,0.623,0.52,True
SOL-USD,1,538,,0.168,0.03957,0.03942,0.478,0.539,True
SOL-USD,3,536,,0.168,0.06477,0.06449,0.442,0.5,True
SOL-USD,5,0,insufficient out-of-sample observations,0.16835093592235786,,,,,
SOL-USD,10,0,insufficient out-of-sample observations,0.16835093592235786,,,,,
SPY,1,365,,0.086,0.01117,0.0112,0.559,0.49,False
SPY,3,363,,0.086,0.01831,0.01852,0.62,0.427,False
SPY,5,361,,0.086,0.02206,0.02255,0.623,0.438,False
SPY,10,356,,0.086,0.02852,0.03019,0.66,0.399,False
