ticker,horizon,n_test,note,rmse_model1,rmse_model4,sign_agree_model1,sign_agree_model4,model4_beats_model1_rmse,calibration_gap_model4
AAPL,1,365,,0.01945,0.01984,0.51,0.471,False,0.11
AAPL,3,363,,0.03603,0.03717,0.54,0.504,False,0.159
AAPL,5,361,,0.04608,0.04808,0.51,0.443,False,0.23
AAPL,10,356,,0.05687,0.06357,0.508,0.433,False,0.285
AUDUSD_X,1,377,,0.00623,0.00622,0.488,0.538,True,0.089
AUDUSD_X,3,375,,0.01035,0.01043,0.477,0.509,False,0.123
AUDUSD_X,5,373,,0.01257,0.01268,0.512,0.509,False,0.126
AUDUSD_X,10,368,,0.01596,0.01685,0.538,0.478,False,0.223
BTC-USD,1,538,,0.02277,0.02294,0.517,0.463,False,0.083
BTC-USD,3,536,,0.03704,0.03862,0.53,0.498,False,0.116
BTC-USD,5,534,,0.04624,0.04903,0.543,0.448,False,0.174
BTC-USD,10,529,,0.06669,0.07577,0.524,0.38,False,0.282
CL_F,1,367,,0.03137,0.03231,0.51,0.507,False,0.146
CL_F,3,365,,0.05407,0.05813,0.51,0.444,False,0.26
CL_F,5,363,,0.06904,0.07337,0.468,0.518,False,0.22
CL_F,10,358,,0.09801,0.10431,0.458,0.5,False,0.275
ETH-USD,1,538,,0.03662,0.03702,0.498,0.498,False,0.087
ETH-USD,3,536,,0.06242,0.06433,0.476,0.515,False,0.121
ETH-USD,5,534,,0.0796,0.0839,0.476,0.489,False,0.157
ETH-USD,10,529,,0.11598,0.12384,0.444,0.471,False,0.205
EURUSD_X,1,377,,0.00453,0.00462,0.467,0.512,False,0.09
EURUSD_X,3,375,,0.00799,0.00844,0.507,0.464,False,0.173
EURUSD_X,5,373,,0.01007,0.01099,0.464,0.491,False,0.203
EURUSD_X,10,368,,0.01344,0.01538,0.486,0.484,False,0.278
GBPUSD_X,1,377,,0.00443,0.00448,0.477,0.512,False,0.097
GBPUSD_X,3,375,,0.00761,0.00754,0.501,0.523,True,0.114
GBPUSD_X,5,373,,0.00947,0.00935,0.485,0.539,True,0.111
GBPUSD_X,10,368,,0.01204,0.01247,0.519,0.541,False,0.182
GC_F,1,367,,0.01672,0.01686,0.567,0.504,False,0.132
GC_F,3,365,,0.02794,0.02855,0.545,0.496,False,0.213
GC_F,5,363,,0.03534,0.03811,0.598,0.518,False,0.294
GC_F,10,358,,0.04647,0.05272,0.617,0.508,False,0.396
HG_F,1,367,,0.02321,0.02322,0.529,0.54,False,0.093
HG_F,3,365,,0.03836,0.03856,0.562,0.545,False,0.145
HG_F,5,363,,0.05058,0.05143,0.576,0.537,False,0.198
HG_F,10,358,,0.06703,0.06852,0.637,0.52,False,0.258
MSFT,1,365,,0.01929,0.01972,0.515,0.438,False,0.152
MSFT,3,363,,0.03591,0.03645,0.512,0.521,False,0.124
MSFT,5,361,,0.04745,0.04891,0.518,0.493,False,0.199
MSFT,10,356,,0.06823,0.07064,0.424,0.553,False,0.243
NVDA,1,365,,0.02588,0.02625,0.534,0.501,False,0.088
NVDA,3,363,,0.04447,0.04633,0.562,0.504,False,0.126
NVDA,5,361,,0.05363,0.05767,0.593,0.485,False,0.122
NVDA,10,356,,0.06734,0.07843,0.593,0.447,False,0.244
QQQ,1,365,,0.01447,0.01477,0.562,0.479,False,0.138
QQQ,3,363,,0.02382,0.02485,0.623,0.537,False,0.163
QQQ,5,361,,0.02943,0.03235,0.607,0.468,False,0.216
QQQ,10,356,,0.03844,0.04467,0.635,0.421,False,0.308
SI_F,1,367,,0.03733,0.03767,0.569,0.556,False,0.149
SI_F,3,365,,0.06109,0.0624,0.567,0.532,False,0.173
SI_F,5,363,,0.07868,0.08053,0.609,0.556,False,0.205
SI_F,10,358,,0.10352,0.11546,0.623,0.508,False,0.318
SOL-USD,1,538,,0.03957,0.04015,0.478,0.487,False,0.096
SOL-USD,3,536,,0.06477,0.06617,0.442,0.521,False,0.102
SOL-USD,5,534,,0.07918,0.08403,0.442,0.509,False,0.172
SOL-USD,10,529,,0.11366,0.12544,0.427,0.473,False,0.241
SPY,1,365,,0.01117,0.01138,0.559,0.466,False,0.122
SPY,3,363,,0.01831,0.01873,0.62,0.518,False,0.121
SPY,5,361,,0.02206,0.02337,0.623,0.468,False,0.178
SPY,10,356,,0.02852,0.03088,0.66,0.537,False,0.221
