ticker,horizon,n_test,note,rmse_ewma,rmse_naive,ewma_beats_naive,corr_ewma_actual,corr_naive_actual
AAPL,3,363,,0.21045,0.21997,True,0.264,0.238
AAPL,5,361,,0.18995,0.19785,True,0.274,0.276
AAPL,10,356,,0.17542,0.18053,True,0.257,0.303
AUDUSD_X,3,375,,0.06196,0.06483,True,0.303,0.278
AUDUSD_X,5,373,,0.0579,0.06088,True,0.292,0.275
AUDUSD_X,10,368,,0.05361,0.05566,True,0.269,0.292
BTC-USD,3,536,,0.23491,0.24541,True,0.26,0.211
BTC-USD,5,534,,0.19462,0.20828,True,0.313,0.252
BTC-USD,10,529,,0.16487,0.17981,True,0.311,0.259
CL_F,3,365,,0.27496,0.28229,True,0.521,0.505
CL_F,5,363,,0.23485,0.24195,True,0.579,0.567
CL_F,10,358,,0.20118,0.20694,True,0.63,0.627
ETH-USD,3,536,,0.3746,0.39414,True,0.21,0.134
ETH-USD,5,534,,0.31868,0.3434,True,0.207,0.121
ETH-USD,10,529,,0.26219,0.29397,True,0.183,0.082
EURUSD_X,3,375,,0.03929,0.04104,True,0.408,0.349
EURUSD_X,5,373,,0.03273,0.03511,True,0.453,0.381
EURUSD_X,10,368,,0.02885,0.0312,True,0.439,0.383
GBPUSD_X,3,375,,0.03547,0.03651,True,0.15,0.115
GBPUSD_X,5,373,,0.02839,0.02974,True,0.165,0.124
GBPUSD_X,10,368,,0.02223,0.02383,True,0.159,0.129
GC_F,3,365,,0.16086,0.17052,True,0.346,0.295
GC_F,5,363,,0.14419,0.15558,True,0.336,0.285
GC_F,10,358,,0.13214,0.14544,True,0.297,0.25
HG_F,3,365,,0.31355,0.32046,True,-0.095,-0.015
HG_F,5,363,,0.28746,0.29419,True,-0.119,-0.014
HG_F,10,358,,0.26426,0.27256,True,-0.146,-0.023
MSFT,3,363,,0.19815,0.20167,True,0.225,0.232
MSFT,5,361,,0.17622,0.17928,True,0.245,0.266
MSFT,10,356,,0.15532,0.15957,True,0.264,0.294
NVDA,3,363,,0.24397,0.25006,True,0.295,0.263
NVDA,5,361,,0.20617,0.21296,True,0.349,0.322
NVDA,10,356,,0.1731,0.17678,True,0.386,0.394
QQQ,3,363,,0.15206,0.15724,True,0.304,0.302
QQQ,5,361,,0.13859,0.1433,True,0.326,0.338
QQQ,10,356,,0.12763,0.13189,True,0.309,0.346
SI_F,3,365,,0.39367,0.40385,True,0.478,0.47
SI_F,5,363,,0.35726,0.3689,True,0.508,0.502
SI_F,10,358,,0.33698,0.34826,True,0.514,0.516
SOL-USD,3,536,,0.39291,0.41161,True,0.311,0.253
SOL-USD,5,534,,0.32213,0.34468,True,0.367,0.304
SOL-USD,10,529,,0.25287,0.27982,True,0.399,0.337
SPY,3,363,,0.1286,0.13444,True,0.322,0.301
SPY,5,361,,0.12055,0.12583,True,0.329,0.324
SPY,10,356,,0.11461,0.119,True,0.296,0.319
